,행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
55,인천광역시 미추홀구 (2817700000),408394,407369,406829,406690,406602,406125,405498,404360,403500,402662,402392,404343,404843,405125,404175,403999,404236,404618,404560,405811,406482,406789,407010,407464,407353,407131,406943,406835,407253,407180,406892,407874,407167,407190,406723,406004,405054,405633,405471,405499,404987,405995,406937,407117,407307,408275
56,인천광역시 연수구 (2818500000),367321,369588,370796,371396,372206,372566,374353,378093,380980,383529,385973,387450,388409,389527,390477,390807,390971,390827,390638,390107,389977,389926,389638,389644,389263,388461,388732,388284,387789,387303,386740,386257,385910,385884,385955,385796,389315,389310,389722,390896,391934,392416,392681,392959,393825,394421
57,인천광역시 남동구 (2820000000),532569,532257,531960,531526,531031,530416,529413,528255,527515,527080,526337,525354,524800,524004,522713,522330,521719,521340,520683,519667,518988,518662,518372,518272,517894,516859,516176,515474,513965,512645,511709,509710,508213,507567,506911,506181,498379,497181,496318,495110,493559,492415,491660,490973,490390,489479
58,인천광역시 부평구 (2823700000),510362,508587,506682,505236,503946,502365,501128,499290,497902,496958,495882,494962,494487,493610,491370,490968,490970,490609,490138,489178,488683,488092,487201,486765,486445,485656,484844,484125,486216,488095,489374,490558,489286,489329,489137,489118,489017,488696,488383,487885,490899,494138,495627,495768,495215,494750
59,인천광역시 계양구 (2824500000),302832,301984,301395,300885,300446,299853,299210,298184,297540,297282,297148,296750,296200,296534,296771,296947,296705,296442,296173,295492,294668,294852,295462,295696,295450,294795,294201,293734,293506,292985,292437,291779,290559,290068,289520,288856,284133,283422,282826,282158,281063,280266,279708,279261,279902,280794
60,인천광역시 서구 (2826000000),544608,544465,544034,543994,544010,544136,544147,543627,543365,542982,542611,542040,541823,541164,540532,540532,540790,541304,542635,544726,549053,552338,553962,555380,557342,562119,565436,568102,569494,571547,575323,578529,579650,581974,585036,589013,608904,614123,618052,621152,623256,624358,625675,627113,628811,629925
61,인천광역시 강화군 (2871000000),69197,69154,68996,69030,69102,69060,69032,69003,69070,69069,69074,69203,69245,69236,69008,69089,69212,69285,69326,69324,69302,69351,69502,69693,69748,69801,69780,69881,69940,70033,70064,70014,69897,69809,69805,69803,69326,69265,69162,69137,69073,69005,69013,68925,68941,68918
62,인천광역시 옹진군 (2872000000),20486,20456,20371,20355,20390,20367,20433,20432,20425,20478,20497,20455,20398,20348,20335,20314,20319,20331,20388,20373,20345,20404,20404,20342,20345,20373,20533,20589,20589,20556,20596,20620,20639,20683,20659,20613,20508,20473,20449,20452,20438,20377,20347,20287,20212,20202
63,광주광역시  (2900000000),1456688,1456121,1455705,1456096,1455533,1455048,1454709,1454154,1453952,1452994,1451993,1450062,1449115,1447953,1445473,1444787,1443154,1442647,1442482,1441970,1442827,1442454,1442138,1441611,1441636,1440032,1438463,1436916,1436012,1435378,1434703,1434397,1432856,1432651,1432049,1431050,1424305,1423810,1422999,1421760,1420822,1419237,1418241,1417031,1415774,1414862
64,광주광역시 동구 (2911000000),98642,98641,98628,98622,99158,99273,99228,99159,100993,102151,102645,102897,102877,102745,102467,102939,103007,103146,103185,103333,103544,103443,103396,103470,103466,103299,103081,102984,102936,103233,103432,105137,105688,105798,105845,105909,106720,106704,106675,106957,107165,107176,107152,107021,106855,106690
