행정구역,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01
인천광역시 계양구 (2824500000),302832,301984,301395,300885,300446,299853,299210,298184,297540,297282,297148,296750,296200,296534,296771,296947,296705,296442,296173,295492,294668,294852,295462,295696,295450,294795,294201,293734,293506,292985,292437,291779,290559,290068,289520,288856,284133.0,283422.0,282826.0,282158.0,281063.0,280266.0,279708.0,279261.0,279902.0,280794.0
인천광역시 서구 (2826000000),544608,544465,544034,543994,544010,544136,544147,543627,543365,542982,542611,542040,541823,541164,540532,540532,540790,541304,542635,544726,549053,552338,553962,555380,557342,562119,565436,568102,569494,571547,575323,578529,579650,581974,585036,589013,608904.0,614123.0,618052.0,621152.0,623256.0,624358.0,625675.0,627113.0,628811.0,629925.0
인천광역시 강화군 (2871000000),69197,69154,68996,69030,69102,69060,69032,69003,69070,69069,69074,69203,69245,69236,69008,69089,69212,69285,69326,69324,69302,69351,69502,69693,69748,69801,69780,69881,69940,70033,70064,70014,69897,69809,69805,69803,69326.0,69265.0,69162.0,69137.0,69073.0,69005.0,69013.0,68925.0,68941.0,68918.0
인천광역시 옹진군 (2872000000),20486,20456,20371,20355,20390,20367,20433,20432,20425,20478,20497,20455,20398,20348,20335,20314,20319,20331,20388,20373,20345,20404,20404,20342,20345,20373,20533,20589,20589,20556,20596,20620,20639,20683,20659,20613,20508.0,20473.0,20449.0,20452.0,20438.0,20377.0,20347.0,20287.0,20212.0,20202.0
광주광역시  (2900000000),1456688,1456121,1455705,1456096,1455533,1455048,1454709,1454154,1453952,1452994,1451993,1450062,1449115,1447953,1445473,1444787,1443154,1442647,1442482,1441970,1442827,1442454,1442138,1441611,1441636,1440032,1438463,1436916,1436012,1435378,1434703,1434397,1432856,1432651,1432049,1431050,1424305.0,1423810.0,1422999.0,1421760.0,1420822.0,1419237.0,1418241.0,1417031.0,1415774.0,1414862.0
광주광역시 동구 (2911000000),98642,98641,98628,98622,99158,99273,99228,99159,100993,102151,102645,102897,102877,102745,102467,102939,103007,103146,103185,103333,103544,103443,103396,103470,103466,103299,103081,102984,102936,103233,103432,105137,105688,105798,105845,105909,106720.0,106704.0,106675.0,106957.0,107165.0,107176.0,107152.0,107021.0,106855.0,106690.0
광주광역시 서구 (2914000000),301339,301015,300292,300093,299850,299248,298898,298644,298030,297527,297214,296576,296036,295368,294691,294128,293364,293088,292724,292400,292180,291705,291411,291231,291235,290550,289789,289341,288703,288120,287748,288100,288043,287720,287607,287401,285972.0,285843.0,285537.0,284870.0,284355.0,283991.0,283582.0,283552.0,282898.0,282274.0
광주광역시 남구 (2915500000),218035,217993,217810,217543,216758,216256,215987,215701,215266,215072,214752,214579,214532,214579,213776,213698,213717,213910,214111,214051,214295,215043,215527,215575,215739,215454,215008,214848,215251,215274,215129,214411,213653,213079,212701,212379,210618.0,210423.0,210329.0,210027.0,209979.0,209646.0,209472.0,209448.0,209022.0,208632.0
광주광역시 북구 (2917000000),433147,432872,433006,433057,432731,433444,433463,433279,432525,431684,431256,430431,430516,430209,429600,429159,428262,427858,428040,427773,428082,427684,427463,427114,426877,427139,427178,426745,426329,426053,425881,424715,423743,424720,425001,424707,422475.0,422881.0,422776.0,422567.0,422159.0,421683.0,421473.0,421073.0,421968.0,422779.0
광주광역시 광산구 (2920000000),405525,405600,405969,406781,407036,406827,407133,407371,407138,406560,406126,405579,405154,405052,404939,404863,404804,404645,404422,404413,404726,404579,404341,404221,404319,403590,403407,402998,402793,402698,402513,402034,401729,401334,400895,400654,398520.0,397959.0,397682.0,397339.0,397164.0,396741.0,396562.0,395937.0,395031.0,394487.0
