측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2023-01-06,성북구,0.0516,0.0077,0.95,0.0039,73.0,57.0
2023-01-06,송파구,0.0445,0.0124,0.83,0.0033,76.0,57.0
2023-01-06,양천구,0.0492,0.0096,0.93,0.0039,93.0,74.0
2023-01-06,영등포구,0.0541,0.0095,0.99,0.004,86.0,71.0
2023-01-06,용산구,0.0433,0.0108,0.77,0.0039,68.0,55.0
2023-01-06,은평구,0.0377,0.0158,1.01,0.0039,72.0,56.0
2023-01-06,종로구,0.0528,0.0078,0.97,0.004,75.0,65.0
2023-01-06,중구,0.0545,0.0114,0.91,0.0042,77.0,69.0
2023-01-06,중랑구,0.0471,0.0118,0.79,0.0033,75.0,62.0
2023-01-06,강남대로,0.0483,0.0095,1.08,0.0047,79.0,65.0
2023-01-06,강변북로,0.0519,0.0072,0.82,0.0031,78.0,66.0
2023-01-06,공항대로,0.0519,0.0078,0.91,0.0039,78.0,58.0
2023-01-06,도산대로,0.0493,0.0078,0.98,0.004,74.0,67.0
2023-01-06,동작대로,0.053,0.0104,0.95,0.0037,80.0,60.0
2023-01-06,시흥대로,0.058,0.0087,0.92,0.004,78.0,52.0
2023-01-06,신촌로,0.0532,0.0079,0.98,0.0038,83.0,69.0
2023-01-06,영등포로,0.0556,0.0076,1.05,0.0046,85.0,71.0
2023-01-06,정릉로,0.0535,0.0053,0.96,0.0042,76.0,63.0
2023-01-06,종로,0.0589,0.0062,1.08,0.0047,75.0,51.0
2023-01-06,천호대로,0.0511,0.0077,0.92,0.004,79.0,61.0
2023-01-06,청계천로,0.0496,0.0063,1.03,0.0043,79.0,57.0
2023-01-06,한강대로,0.0549,0.0093,1.03,0.0035,79.0,63.0
2023-01-06,홍릉로,0.0497,0.0062,0.84,0.0039,73.0,64.0
2023-01-06,화랑로,0.0551,0.0054,0.88,0.0036,74.0,59.0
2023-01-06,관악산,0.0136,0.0467,0.39,0.0031,57.0,44.0
2023-01-06,남산,0.0416,0.0135,1.04,0.0045,74.0,61.0
2023-01-06,북한산,0.0239,0.023,0.48,0.0033,56.0,47.0
2023-01-06,세곡,0.0389,0.0156,1.01,0.0051,80.0,66.0
2023-01-06,항동,0.0288,0.0169,1.24,0.0042,82.0,66.0
2023-01-06,행주,0.0465,0.0105,0.7,0.0042,79.0,58.0
2023-01-06,마포아트센터,0.0525,0.0127,0.92,0.0044,80.0,61.0
2023-01-06,서울숲,0.0493,0.0113,1.04,0.0037,81.0,62.0
2023-01-06,올림픽공원,0.0447,0.0175,0.74,0.0033,82.0,72.0
2023-01-06,자연사박물관,0.0479,0.0148,0.77,0.0042,70.0,58.0
2023-01-07,강남구,0.0307,0.0229,0.88,0.0036,119.0,86.0
2023-01-07,강동구,0.0274,0.0169,0.88,0.0026,127.0,98.0
2023-01-07,강북구,0.0205,0.0281,0.94,0.0029,123.0,77.0
2023-01-07,강서구,0.0277,0.0249,0.9,0.0038,135.0,87.0
2023-01-07,관악구,0.0291,0.0212,0.97,0.0032,127.0,79.0
2023-01-07,광진구,0.0196,0.0184,1.18,0.0024,116.0,82.0
2023-01-07,구로구,0.0242,0.0214,0.66,0.0034,126.0,94.0
2023-01-07,금천구,0.0261,0.0264,0.93,0.0035,117.0,96.0
2023-01-07,노원구,0.0333,0.0218,0.99,0.0032,122.0,91.0
2023-01-07,도봉구,0.0202,0.0303,0.98,0.0027,114.0,82.0
2023-01-07,동대문구,0.0288,0.022,0.95,0.0035,118.0,86.0
2023-01-07,동작구,0.03,0.026,0.89,0.0035,125.0,95.0
2023-01-07,마포구,0.0349,0.0172,0.96,0.0043,110.0,96.0
2023-01-07,서대문구,0.0286,0.0204,1.14,0.0046,116.0,90.0
2023-01-07,서초구,0.0291,0.0189,0.75,0.0029,114.0,94.0
2023-01-07,성동구,0.0288,0.0211,0.87,0.0033,125.0,76.0
2023-01-07,성북구,0.0316,0.021,0.91,0.0034,124.0,89.0
2023-01-07,송파구,0.0354,0.0178,0.97,0.0027,113.0,84.0
2023-01-07,양천구,0.0285,0.0204,0.88,0.0035,132.0,98.0
2023-01-07,영등포구,0.0293,0.0224,0.92,0.0035,116.0,95.0
2023-01-07,용산구,0.0262,0.0213,0.89,0.0035,107.0,76.0
2023-01-07,은평구,0.0234,0.0234,1.22,0.0035,123.0,89.0
2023-01-07,종로구,0.0281,0.0231,0.96,0.0033,125.0,101.0
2023-01-07,중구,0.0321,0.0272,0.9,0.0036,123.0,98.0
2023-01-07,중랑구,0.0362,0.0198,0.97,0.0031,117.0,92.0
2023-01-07,강남대로,0.0371,0.0143,1.15,0.0037,118.0,97.0
2023-01-07,강변북로,0.0387,0.014,0.96,0.0027,119.0,94.0
2023-01-07,공항대로,0.034,0.0177,0.89,0.0036,118.0,86.0
2023-01-07,도산대로,0.0305,0.0173,0.97,0.0034,,95.0
2023-01-07,동작대로,0.0405,0.0177,1.08,0.0035,118.0,84.0
2023-01-07,시흥대로,0.0324,0.0219,0.88,0.0035,117.0,77.0
2023-01-07,신촌로,0.0395,0.0123,1.09,0.0033,133.0,104.0
2023-01-07,영등포로,0.0391,0.0149,1.02,0.0035,121.0,98.0
2023-01-07,정릉로,0.0402,0.0127,1.01,0.0037,123.0,97.0
2023-01-07,종로,0.0302,0.0193,1.0,0.0038,120.0,72.0
2023-01-07,천호대로,0.0445,0.012,1.12,0.0034,117.0,89.0
2023-01-07,청계천로,0.0344,0.018,0.92,0.0038,124.0,84.0
2023-01-07,한강대로,0.0348,0.0194,1.0,0.0028,127.0,97.0
2023-01-07,홍릉로,0.0338,0.0163,0.95,0.0032,115.0,96.0
2023-01-07,화랑로,0.0399,0.0147,1.02,0.0032,112.0,84.0
2023-01-07,관악산,0.017,0.039,0.71,0.0031,94.0,54.0
2023-01-07,남산,0.0225,0.0274,1.18,0.0038,121.0,88.0
2023-01-07,북한산,0.0138,0.0321,0.73,0.0031,107.0,80.0
2023-01-07,세곡,0.0357,0.0154,1.06,0.0037,117.0,90.0
2023-01-07,항동,0.0138,0.028,1.22,0.0041,111.0,85.0
2023-01-07,행주,0.0193,0.0243,0.6,0.0036,117.0,76.0
2023-01-07,마포아트센터,0.0318,0.024,0.88,0.0038,124.0,91.0
2023-01-07,서울숲,0.0318,0.0213,1.32,0.0033,119.0,87.0
2023-01-07,올림픽공원,0.0301,0.025,0.82,0.0028,114.0,93.0
2023-01-07,자연사박물관,0.0293,0.0259,0.84,0.0037,120.0,93.0
2023-01-08,강남구,0.0378,0.0106,0.87,0.0031,119.0,64.0
2023-01-08,강동구,0.0274,0.01,0.8,0.0025,129.0,74.0
2023-01-08,강북구,0.0306,0.0141,0.85,0.0026,152.0,51.0
2023-01-08,강서구,0.0387,0.0111,0.85,0.0032,159.0,50.0
2023-01-08,관악구,0.0423,0.0091,0.87,0.0029,132.0,45.0
2023-01-08,광진구,0.0202,0.0122,1.07,0.0022,124.0,59.0
2023-01-08,구로구,0.0356,0.009,0.6,0.003,139.0,54.0
2023-01-08,금천구,0.0299,0.0134,0.68,0.0031,109.0,45.0
